roi_key,roi_name,mni_x,mni_y,mni_z,n_voxels,n_obs,n_subjects,b_run,b_SA,b_interaction,t_run,t_SA,t_interaction,p_run,p_SA,p_interaction,p_SA_perm,p_interaction_perm,method,rho_run1,rho_run2,rho_run3,rho_run4,q_interaction_fdr,q_SA_fdr
IFG_R,R inferior frontal gyrus,48,24,2,170,132,33,-0.07693898816794248,0.004629294937708106,0.016115248271180025,-1.8513428583030709,0.41625024379273434,1.6200620804789796,0.06642490990052426,0.6779240107684663,0.10768006511569081,0.6699330066993301,0.1531846815318468,ols,0.3142857142857143,0.03896103896103896,0.16190476190476188,0.08917748917748917,0.5835083158350831,0.8374162583741626
HC_L,L hippocampus,-24,-18,-17,171,132,33,-0.0037282822313050197,0.009095945958025035,0.013394907938885994,-0.0684170567602802,0.6237387748678602,1.026950737495204,0.945560406239728,0.5339091287216036,0.30638043413451593,0.5158484151584841,0.39706029397060294,ols,0.03896103896103897,-0.19134199134199134,0.1826839826839827,0.0008658008658008661,0.7638446681647624,0.8169400451259222
HC_R,R hippocampus,25,-19,-15,171,132,33,-0.02948655360867209,0.008979187001569399,0.018686919750746368,-0.6276628211826795,0.7142309587022284,1.6618597971337103,0.5313429971501615,0.4763848261357124,0.09898809280270936,0.5033496650334967,0.19188081191880813,ols,0.056277056277056266,0.007792207792207805,-0.021645021645021637,0.007792207792207798,0.5835083158350831,0.8169400451259222
rACC,Rostral ACC,-3,41,4,171,132,33,-0.0270095329910223,0.02079823911246173,0.03211694659620168,-0.7304919205374505,2.101958677414494,3.6289991221262667,0.46642449025425214,0.03751668072264386,0.0004098324146977165,0.0331966803319668,0.0012998700129987,ols,0.1168831168831169,0.0961038961038961,0.07186147186147186,0.04415584415584416,0.045495450454954504,0.41995800419958
vmPFC,vmPFC,2,45,-15,171,132,33,0.018434033153781237,0.026313628048653028,0.016789713517121593,0.34026403038501607,1.814996009013651,1.2947718098110232,0.7342154716027431,0.07186586995786555,0.19772968450374265,0.09019098090190981,0.11288871112888711,ols,0.13246753246753246,-0.023376623376623374,0.19826839826839823,0.03376623376623377,0.5835083158350831,0.543612305436123
AM_R,R amygdala,23,-3,-18,171,132,33,0.011873611196191751,0.023385844595267182,0.013810338165281993,0.2680468970900434,1.972787398192841,1.3025264322358419,0.7890947006351096,0.05067489318115467,0.1950751650078572,0.047995200479952004,0.18948105189481051,ols,0.032034632034632034,-0.04069264069264068,0.1168831168831169,-0.011255411255411275,0.5835083158350831,0.41995800419958
AM_L,L amygdala,-21,-4,-18,171,132,33,0.012389902967037077,0.005212833284583522,0.027166688299559004,0.2207069099399094,0.34699332950772754,2.0218037457729587,0.825672309071295,0.7291661661044979,0.04528131252005388,0.7463253674632536,0.015998400159984,ols,0.08398268398268398,0.03722943722943723,0.03376623376623377,0.04761904761904762,0.20647935206479354,0.8707129287071292
NAC_L,L nucleus accumbens,-13,11,-8,171,132,33,0.01651496907657965,-0.01271048724614881,0.005385496134492354,0.4087508572033454,-1.1755534383199924,0.5568790782234432,0.6834055653146004,0.2419553272700809,0.57858244379605,0.25677432256774324,0.6015398460153984,ols,0.0406926406926407,-0.15497835497835497,0.045887445887445893,0.021645021645021648,0.809765177328421,0.8169400451259222
NAC_R,R nucleus accumbens,11,10,-7,171,132,33,0.00840194657998031,0.0021027970684635243,0.016216565891624565,0.1533306424444654,0.143398849694914,1.2364091267480393,0.8783790002430316,0.8862006962718447,0.2185704611416229,0.8608139186081392,0.39916008399160086,ols,-0.047619047619047616,-0.0181818181818182,0.15324675324675324,0.03203463203463204,0.7638446681647624,0.8897345559561691
MTG_L,L middle temporal gyrus,-56,-14,-13,171,132,33,-0.03934914348668382,0.011742286028893207,0.004288465339841854,-0.9144847058368617,1.0197485194336269,0.4163871699581093,0.3621816729519125,0.30977127778970603,0.6778240858796774,0.38736126387361264,0.6678332166783322,ols,0.28484848484848485,0.04069264069264071,0.2536796536796536,0.09437229437229436,0.8136082943429794,0.8169400451259222
